,Country ,Capital ,Native /Official Language
0,Afghanestanافغانستان,Kabulكابل,"Pashto/Dari(Arabic script)
"
1,Shqipëria,Tirana,"Albanian
"
2,DzayerⴷⵣⴰⵢⴻⵔAl-Jazā'irالجزائر,DzayerⴷⵣⴰⵢⴻⵔAl-Jazā'irالجزائر,"Berber language(Tifinagh script)Arabic(Arabic script)
"
3,Amerika SāmoaAmerican Samoa,Pago Pago  Pago Pago,"SamoanEnglish
"
4,Andorra,Andorra la Vella,"Catalan
"
5,Angola Ngola,Luanda Lwanda,"Portuguese Kongo
"
6,Anguilla,The Valley,"English
"
7,Antigua and Barbuda,St. John's,"English
"
8,Argentina,Buenos Aires,"Spanish
"
9,HayastánՀայաստան,YerevanԵրևան,"Armenian(Armenian alphabet)
"
10,Aruba,Oranjestad,"Dutch, Papiamento
"
11,Australia,Canberra,"English/ Aboriginal native languages
"
12,Österreich,Wien,"German
"
13,ÅlandAhvenanmaa,MariehamnMaarianhamina,"SwedishFinnish
"
14,Azərbaycan,Bakı,"Azerbaijani
"
15,The Bahamas,Nassau,"English
"
16,Al-Baḥraynالبحرين,Al-Manāmahالمنامة,"Arabic(Arabic script)
"
17,Bangladeshবাংলাদেশ,Dhakaঢাকা,"Bengali(Bengali script)
"
18,Barbados,Bridgetown,"English
"
19,BielaruśБеларусьBelarusБеларусь,MinskМінскMinskМинск,"Belarusian(Cyrillic script)Russian(Cyrillic script)
"
20,BelgiëBelgiqueBelgien,BrusselBruxellesBrüssel,"DutchFrenchGerman
"
21,Belize,Belmopan,"English
"
22,Bénin,Porto-Novo,"French
"
23,Bermuda,Hamilton,"English
"
24,Druk Yulའབྲུག་ཡུལ,Thimphuཐིམ་ཕུ,"Dzongkha(Tibetan alphabet)
"
25,BoliviaBuliwya WuliwyaVolívia,La PazChuqiyapuChuqiyapuLa Paz,"SpanishQuechuaAymaraGuaraní
"
26,Bosna i HercegovinaБосна и Херцеговина,SarajevoСарајево,"Bosnian, Croatian(Latin script), Serbian(Cyrillic script)
"
27,Botswana,Gaborone,"English, Tswana
"
28,Brasil,Brasília,"Portuguese
"
29,British Virgin Islands,Road Town,"English
"
30,Bruneiبروني,Bandar Seri Begawan or Bandarباندر سري بڬاون,"Malay(Jawi script)
"
31,Bălgariya or BălgarijaБългария,Sofiya or Sofija[5]София,"Bulgarian(Cyrillic script)
"
32,Burkina Faso,Ouagadougou,"French
"
33,Uburundi Burundi,Gitega Gitega,"Kirundi  French
"
34,Kămpŭchéaកម្ពុជា,Phnum Pénhភ្នំពេញ,"Khmer(Khmer script)
"
35,CamerounCameroon,YaoundéYaoundé,"FrenchEnglish
"
36,Canada,Ottawa,"English, French
"
37,Cabo Verde,Praia,"Portuguese
"
38,Cayman Islands,George Town,"English
"
39,CentrafriqueBêafrîka,BanguiBangî,"FrenchSango
"
40,TchadTšādتشاد,NdjamenaNijāmīnāنجامينا,"FrenchArabic(Arabic script)
"
41,Chile,Santiago,"Spanish
"
